id,athlete_id,name,sex,age,height,weight,country_code,region,games,year,season,city,sport,event,medal
30000,869,Gabrielle Marie Adcock,F,25,167,,GBR,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Badminton,Badminton Mixed Doubles,
30001,22,Andreea Aanei,F,22,170,125,ROU,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Womens Super Heavyweight,
30002,51,Nstor Abad Sanjun,M,23,167,64,ESP,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Mens Individual All Around,
30003,51,Nstor Abad Sanjun,M,23,167,64,ESP,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Mens Floor Exercise,
30004,51,Nstor Abad Sanjun,M,23,167,64,ESP,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Mens Parallel Bars,
30005,51,Nstor Abad Sanjun,M,23,167,64,ESP,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Mens Horizontal Bar,
30006,51,Nstor Abad Sanjun,M,23,167,64,ESP,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Mens Rings,
30007,51,Nstor Abad Sanjun,M,23,167,64,ESP,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Mens Pommelled Horse,
30008,55,Antonio Abadia Beci,M,26,170,65,ESP,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Mens 5000 metres,
30009,62,Giovanni Abagnale,M,21,198,90,ITA,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Mens Coxless Pairs,Bronze
30010,65,Patimat Abakarova,F,21,165,49,AZE,Asia,2016 Summer,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Womens Flyweight,Bronze
30011,73,Luc Abalo,M,31,182,86,FRA,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Mens Handball,Silver
30012,105,Ilyas Abbadi,M,23,175,75,ALG,Africa,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Mens Middleweight,
30013,110,Abubakar Abbas Abbas,M,20,175,66,BRN,Asia,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Mens 400 metres,
30014,135,Lois Abbingh,F,23,178,72,NED,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Womens Handball,
30015,138,Salwan Jasim Abbood Abbood,M,24,180,104,IRQ,Asia,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Mens Heavyweight,
30016,141,Clare Abbott,F,30,167,58,IRL,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,Equestrianism Mixed Three Day Event Individual,
30017,141,Clare Abbott,F,30,167,58,IRL,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,Equestrianism Mixed Three Day Event Team,
30018,149,Mara Katherine Abbott,F,30,163,52,USA,North America,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Womens Road Race Individual,
30019,161,Hossam Abdalla,M,28,203,97,EGY,Africa,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Mens Volleyball,
30020,170,Maha Abdalsalam Gouda,F,18,172,61,EGY,Africa,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Womens Platform,
30021,203,Ahmed Abdel Naeim,M,31,197,87,EGY,Africa,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Mens Volleyball,
30022,213,Samy Abdel Razek,M,36,170,60,EGY,Africa,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,Shooting Mens Air Pistol 10 metres,
30023,213,Samy Abdel Razek,M,36,170,60,EGY,Africa,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,Shooting Mens Free Pistol 50 metres,
30024,225,Shaimaa Abdel Latif Hashad,F,35,165,57,EGY,Africa,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,Shooting Womens Air Rifle 10 metres,
30025,227,Ahmed Abdelaal,M,27,188,89,EGY,Africa,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Mens Volleyball,
30026,228,Mahmoud Abdelaal,M,24,176,60,EGY,Africa,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Mens Lightweight,
30027,229,Mohamed Ali Abdelaal,M,26,175,81,EGY,Africa,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Mens Half Middleweight,
30028,232,Ibrahim Ramadan Ibrahim Abdelbaki,M,28,173,77,EGY,Africa,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Mens Middleweight,
30029,236,Ragab Abdelhay Saad Abdelrazek Abdallah,M,25,170,94,EGY,Africa,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Mens Middle Heavyweight,
30030,239,Ayoub Abdellaoui,M,23,184,68,ALG,Africa,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Mens Football,
30031,240,Leila Abdelmoez,F,19,160,46,EGY,Africa,2016 Summer,2016,Summer,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Womens Team,
30032,242,Ahmed Abdelrahman,M,20,165,60,EGY,Africa,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Mens Extra Lightweight,
30033,246,Mamdouh Abdelrehim,M,26,207,90,EGY,Africa,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Mens Volleyball,
30034,250,Saeid Morad Abdevali,M,26,170,80,IRI,Asia,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,Wrestling Mens Middleweight Greco Roman,Bronze
30035,251,Bashir Abdi,M,27,176,56,BEL,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Mens 5000 metres,
30036,251,Bashir Abdi,M,27,176,56,BEL,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Mens 10000 metres,
30037,269,Fawziya Abdoulkarim,F,27,180,67,CMR,Africa,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Womens Volleyball,
30038,272,Berik Abdrakhmanov,M,30,165,60,KAZ,Asia,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Mens Lightweight,
30039,273,Maizurah Abdul Rahim,F,17,147,50,BRU,Asia,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Womens 200 metres,
30040,335,Abdulqdir Abdullayev,M,28,188,91,AZE,Asia,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Mens Heavyweight,
30041,338,Muminzhon Abdullayev,M,26,190,130,UZB,Asia,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,Wrestling Mens Super Heavyweight Greco Roman,
30042,349,Waheed Abdulridha Waheed Karaawi,M,33,178,74,IRQ,Asia,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Mens Middleweight,
30043,354,Bekzod Makhamadzhonovich Abdurakhmonov,M,26,172,74,UZB,Asia,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,Wrestling Mens Middleweight Freestyle,
30044,355,Mukhamadmurod Abdurakhmonov,M,29,192,117,TJK,Asia,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Mens Heavyweight,
30045,356,Adlan Aliyevich Abdurashidov,M,26,172,60,RUS,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Mens Lightweight,
30046,383,Mojtaba Abedini Shormasti,M,31,180,83,IRI,Asia,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,Fencing Mens Sabre Individual,
30047,395,Jennifer Abel,F,24,160,62,CAN,North America,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Womens Springboard,
30048,395,Jennifer Abel,F,24,160,62,CAN,North America,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Womens Synchronized Springboard,
43824,6376,Ba Dexin,M,23,185,80,CHN,Asia,2014 Winter,2014,Winter,Sochi,Curling,Curling Mens Curling,
30049,402,Arthur Abele,M,30,184,85,DEU,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Mens Decathlon,
30050,405,Jos Javier Abella Fanjul,M,22,176,66,MEX,North America,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Mens Football,
30051,415,Aditya Abha,M,24,181,75,IND,Asia,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Mens Football,
30052,420,Susan Abad,F,29,178,69,ESP,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Womens Handball,
30053,442,Juan Abel,M,25,180,83,CUB,North America,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Mens High Jump,
30054,442,Juan Abel,M,25,180,83,CUB,North America,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Mens Long Jump,
30055,443,Jeanne-Marie Abadie,F,20,171,60,FRA,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Womens Pair,
30056,455,Luca Abro,52,230,80,FRA,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Mens Football,
