pop_id,country_code,year,fertility_rate,life_expectancy,size
20,ABW,2010,1.704,74.95354,101597
19,ABW,2015,1.647,75.573586,103889
2,AFG,2010,5.746,58.97083,27962208
1,AFG,2015,4.653,60.71717,32526562
12,AGO,2010,6.416,50.65417,21219954
11,AGO,2015,5.996,52.666096,25021974
4,ALB,2010,1.663,77.03695,2913021
3,ALB,2015,1.793,78.014465,2889167
10,AND,2010,1.27,null,84419
9,AND,2015,null,null,70473
409,ARE,2010,1.868,76.67525,8329453
408,ARE,2015,1.767,77.541245,9156963
16,ARG,2010,2.37,75.48498,41222876
15,ARG,2015,2.308,76.33422,43416756
18,ARM,2010,1.648,74.22634,2963496
17,ARM,2015,1.517,74.79712,3017712
8,ASM,2010,null,null,55636
7,ASM,2015,null,null,55538
14,ATG,2010,2.13,75.30878,87233
13,ATG,2015,2.063,76.10022,91818
22,AUS,2010,1.928,81.69512,22031750
21,AUS,2015,1.833,82.45122,23789752
24,AUT,2010,1.44,80.58049,8363404
23,AUT,2015,1.47,81.8439,8638366
26,AZE,2010,1.92,70.45132,9054332
25,AZE,2015,1.97,70.84878,9649341
64,BDI,2010,6.302,54.829197,9461117
63,BDI,2015,5.863,57.107048,11178921
38,BEL,2010,1.86,80.18293,10895586
37,BEL,2015,1.74,81.2878,11249420
42,BEN,2010,5.094,58.729706,9509798
41,BEN,2015,4.688,59.720707,10879829
62,BFA,2010,5.867,57.05139,15632066
61,BFA,2015,5.437,58.931293,18105570
32,BGD,2010,2.332,70.08029,151616780
31,BGD,2015,2.144,72.0012,160995650
60,BGR,2010,1.57,73.51219,7395599
59,BGR,2015,1.53,74.46585,7177991
30,BHR,2010,2.142,76.12756,1261319
29,BHR,2015,2.035,76.8191,1377237
28,BHS,2010,1.904,74.59239,360830
27,BHS,2015,1.861,75.39683,388019
50,BIH,2010,1.288,75.807686,3835258
49,BIH,2015,1.253,76.588585,3810416
36,BLR,2010,1.494,70.40488,9490583
35,BLR,2015,1.724,73.62439,9489616
40,BLZ,2010,2.714,69.78205,321609
39,BLZ,2015,2.546,70.19237,359287
44,BMU,2010,1.76,79.288536,65124
43,BMU,2015,1.62,81.01219,65235
48,BOL,2010,3.2,66.40775,9918245
47,BOL,2015,2.923,68.73961,10724705
54,BRA,2010,1.838,73.264145,198614210
53,BRA,2015,1.778,74.67588,207847520
34,BRB,2010,1.781,74.84529,279566
33,BRB,2015,1.796,75.65844,284215
58,BRN,2010,1.953,77.59827,393302
57,BRN,2015,1.856,79.04083,423188
46,BTN,2010,2.331,67.89242,720246
45,BTN,2015,1.984,69.832855,774830
52,BWA,2010,2.893,63.402294,2047831
51,BWA,2015,2.799,64.48741,2262485
76,CAF,2010,4.624,47.625317,4444973
75,CAF,2015,4.206,51.41912,4900274
72,CAN,2010,1.6269,81.19756,34005272
71,CAN,2015,1.6,82.137634,35848608
377,CHE,2010,1.52,82.24634,7824909
376,CHE,2015,1.54,83.19756,8281430
80,CHI,2010,1.436,80.01037,159583
79,CHI,2015,1.473,80.751686,163692
82,CHL,2010,1.824,80.2758,17015048
81,CHL,2015,1.749,81.78756,17948140
84,CHN,2010,1.539,75.007416,1337705000
83,CHN,2015,1.569,75.98634,1371220000
96,CIV,2010,5.231,50.151463,20131708
95,CIV,2015,4.937,51.919758,22701556
70,CMR,2010,5.017,53.694828,20590666
69,CMR,2015,4.63,55.93439,23344180
90,COD,2010,6.386,56.896145,65938712
89,COD,2015,5.908,59.023903,77266816
92,COG,2010,5.02,59.143124,4066078
91,COG,2015,4.811,62.867657,4620330
86,COL,2010,2.01,73.277855,45918100
85,COL,2015,1.875,74.18202,48228704
88,COM,2010,4.755,61.830513,698695
87,COM,2015,4.418,63.554024,788474
66,CPV,2010,2.464,72.5979,490379
65,CPV,2015,2.268,73.35564,520502
94,CRI,2010,1.922,78.736046,4545273
93,CRI,2015,1.8,79.586464,4807850
100,CUB,2010,1.635,78.93563,11308133
99,CUB,2015,1.606,79.54642,11389562
102,CUW,2010,2.2,null,148703
101,CUW,2015,1.9,null,157979
74,CYM,2010,null,null,55509
73,CYM,2015,null,null,59967
104,CYP,2010,1.481,79.38195,1103685
103,CYP,2015,1.438,80.3071,1165300
106,CZE,2010,1.51,77.42439,10474410
105,CZE,2015,1.53,79.47317,10546059
